wuxing,score,mod1,mod2,jixiong,brief,description,detail
土水土,40,595,606,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳。,人格被上下双夹攻，最坏之三才配置，境遇不安定，而有多变之兆，徒劳而无功，易受人累，常陷于不安中，不能成功亦无法伸张，且有突发之不测凶灾或祸端或急症，导致破产或丧生之短寿兆特浓。,"1、总论：虽有聪明才智，但有志难伸，一生多劳碌，有眼高手低，怀才不遇之感叹，要多忍耐，中年后会有成功机会，财利可得。慎防意外灾病。天运五行属水时发展较快。
2、性格：常有不平不满，怨天忧人，但做事言行坚实，守其信用，在劳苦中求发展，自力创业，是渐进性的发展过程，只怕中途受挫折而心灰意冷，以致前功尽弃，宜培养耐力，定能成功。
3、意志：不够坚定，容易受世俗迷惑，耐心亦不足，处事容易冲动，任性且一意孤行。
4、事业：如为薪水阶级较为适合，但不满于现状，一心想创造一番属于自己的事业现而陷入孤军奋斗。
5、家庭：父母无荫，亲友少助，夫妻不和睦，子女不敬，只能将希望寄托于事业。
6、婚姻：男娶好胜理智之妻，婚后有争吵，但能持家；女嫁有才干而顽强之夫，婚后不甚美满。
7、子女：子女虽有责任，但反抗心很强，长大后独立心重。
8、社交：对外能守信用，言行自大而坚实，有观察力，但社交及人缘都算平庸。
9、精神：精神生活很不安定，心情苦闷，一生劳碌不安。
10、财运：您的努力没有白费，中年后则转入佳境，财源尚丰。
11、健康：易患肾脏、膀胱、胃肠及意外灾病。
12、老运：老景虽转入佳境，但精神仍孤独不安，缺乏家庭温暖。"
土水金,40,597,608,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳，常有不满。,基础运吉，境遇可稍安定，因勤勉而有一时之大成功，但成功运劣，以致不能有所伸张发展，且恐有再败之兆，若人格或地格有凶数者，恐交通生祸或陷于体弱病难，或急功招败，或凶变遭难、祸端危害之虑。,"1、总论：这是一种白手起家、克服艰难而成功的配置。凡事不可太任性太急躁，保持人和处事成功较快，若只顾前进，会带来许多后顾之忧。天运五行属木时，可成功成名。
2、性格：有聪明的头脑和才华，一时怀才不遇也不必感叹，凡事应谦和待人，不要过份自大，多冷静思考，不要急于一时，以免遭到别人的反感与打击，造成创业的阻力。
3、意志：意志坚定，一直在追求自己的理想，但处理事情容易冲动，时常因欠考虑，而导致内外不和。
4、事业：如先求稳定再求发展，可平安无事，若好高骛远，欲速则不达，会因急功而失败。
5、家庭：与父母意见不和，白手起家，妻子有助力但时常闹意见。
6、婚姻：男娶精明勤俭之妻，婚后多争执；女嫁好胜寡和之夫，婚后不和睦，婚姻有危机。
7、子女：子女个性较顽强，长大后在社会上有所成就，虽有孝心，但表现却相反。
8、社交：好胜自大的个性，常引起别人的不满，凡事多替人着想，多忍让而得人和，定能成功。
9、精神：外表似乎乐观，其实内心不安定，凡事困扰多，精神烦闷又不平不满。
10、财运：早年劳碌，中年后财原甚丰。但天运五行属金时，劳而无功。
11、健康：易患胃病、神经痛、骨折等。
12、老运：晚景财源不缺，但欲望太高，精神仍不安定。"
土水水,40,599,600,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳。不过有出异常发达者的可能。,虽然有很勉强的一时之小成，但不能伸张发展，即使暂时成功，也容易再陷落失败，破乱变动殊多，流离失所，本性不诚实，喜好诈骗财色，以致犯了刑罚，又有水灾病难，家庭之困苦不幸等，因急变大灾而陷于孤立贫悲。,"1、总论：这种配置很不平安，早年受到许多艰难困苦，急灾病难，如能逃过灾难，中年后可创立一番事业，成功发展，财源可得，天运五行属火、土之人，中年后成功率很大。
2、性格：有天赋的才华及满腹的理想，常有怀才不遇之叹，容易造成愤世嫉俗的心理，性格孤独与人寡和，并容易被卷入财务或法律的是非中。只要乐观奋斗，可得良机。
3、意志：意志坚定，思想正确，不易受世俗迷惑，耐性亦佳，有创业的毅力。
4、事业：早年奔走他乡谋生，为家庭劳碌，中年或有机会创出一番事业，艰苦中得到成功发展。
5、家庭：六亲缘薄，自力更生，夫妻勤俭持家，共同创业而成功，但常闹意见。
6、婚姻：男娶好强勤俭之妻，婚后不甚美满，家庭欠温暖；女嫁好胜寡和之夫，婚后常有争吵，难和睦。
7、子女：女孩较多，个性孤独，身体衰弱，须虚心照顾。
8、社交：比较好面子，好舌辩，喜欢求表面好看，性格孤高，只为自己的理想而前进，社交及人缘皆平凡。
9、精神：从小就没安定过，精神生活烦闷，物质生活再好，也无法得到安定。
10、财运：早年劳心劳力终有所得，中年可较安定，晚年财运丰。天运属水，一生难发展。
11、健康：易患头疼、胃肠、肾、膀胱、妇人病等。慎防意外灾病。
12、老运：晚景虽财源不缺，但难享天伦之乐，精神苦闷，心情不开朗。"
金木木,40,711,822,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳，尤其易神经衰弱。,双木协力抗一金：基础安泰，得人相助，而达成功安逸，但成功之后，不能向上伸张发展，只能勉强维持原状。但在中、壮年期间：须提防交通事故，车祸或被金属之物所伤致危，甚至遭遇半身不逐而残废。,"1、总论：青少年时期较困苦，中年时期慢慢发展，劳心劳力奋发向上，有少许成功运，若不知足会惹来更多苦劳，而致神经衰弱，且有外伤、他伤之兆。天运五行属土时，发展性较大。
2、性格：为人勤奋，有才华及毅力，但创业过程很不如意，做事主观固执，容易陷入一意孤行，属于外柔内刚的个性，疑心稍重。
3、意志：意志尚称坚定，不断在追求事业上的突破，但有浪费金钱的倾向。
4、事业：须经过千辛万苦方有成就，如从事人际关系较单纯的事业，比较容易成功。
5、家庭：男命者家庭尚称圆满，父母缘薄。女命者夫妻不和，有分居或离散之灵意。
6、婚姻：男娶贤慧好强之妻，婚后大致圆满；女嫁好胜固执之夫，婚后常有争吵。
7、子女：女孩较多，聪明孝顺，其中有身体较虚弱者。
8、社交：为人谦虚客气，但不善交际，诚意待人而不得其门，常有受累之情事。
9、精神：对外乐观，内则苦闷，精神不安定，又有受亲友拖累而操劳不安之倾向。
10、财运：操劳中赚钱，财运平凡，积蓄多寡，在于节俭问题。
11、健康：易患神经衰弱、肝胆机能、胃肠、神经痛、呼吸系统、外伤等。
12、老运：终生操劳，老景精神仍孤独不安，事业受困顿之兆。"
金木火,40,713,824,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳。,弱木化火以抗金：基础运之境遇，无事安泰而可成功于一时，但成功运被压制，不能有所伸张。中、壮年期间：须提防交通事故、车祸，或被金属之器所伤致危之虑，西方乃此格之煞方，少去为妙。,"1、总论：凭着才华和毅力，可得相当阶段的成功，如想继续往上爬，可能碰到许多困难，以致产生不平不满，精神过劳，苦闷不堪。一生事业变化很大。
2、性格：有领导和创业的才能，凡事有计划性的安排，有技艺方面的特长，可得人赞赏，为人仁慈，但好面子，有时大言不惭，而被误会有自大之嫌，为人努力且理想颇高。
3、意志：意志坚定，能奋斗到底，耐性亦佳，能忍受艰苦，创立一番事业。
4、事业：青少年劳苦，中年有成功机会，但应适可而止，不可贪得无厌，免劳命伤财，守则无忧。
5、家庭：有父母缘薄或早亡之兆，靠自力更生。男命夫妻较安定，女命恐有反目。
6、婚姻：男娶贤慧之妻，婚后恐为应酬之事多意见冲突；女嫁好胜固执之夫，婚后多争执，恐有仳离。
7、子女：女孩较多于男孩，活泼可爱，长大后在社会上会有成就，帮助父母。
8、社交：人缘社交都很好，对下属也很慈爱，能得朋友意外之助，但也有卷入朋友是非之灵意。
9、精神：表面乐观，内心操劳，精神不安定，为事业劳碌不休。
10、财运：财运平凡，时富时贫不稳定，不必要的浪费要节制，免陷入财务困难。
11、健康：易患脑神经衰弱、胃肠、肝胆机能、内分泌障碍等。
12、老运：晚景苦中带乐，喜忧参半，精神不安之兆，物质不缺。"
金木土,55,715,826,凶,成功运被压抑，难以成功，易生身心过劳，惟境遇尚可得安定。,木向下弥展而避免与金相抗，因此可无交战而获得安然，力求和平而少灾遇之危，基础运克勤安泰无事，而可成功于一时，境遇安定，但难于伸张发展，易患生身心过劳，神经衰弱等病难，或陷于怀才不遇之逆境。中、壮年期间亦须提防交通事故。,"1、总论：这是一种较平凡的配置，若努力向上且忍耐力强，可得正比率的发展，但大成功的机会不多，易生身心过劳，是辛勤得财类型。天运五行属水之人，事业顺利，财源甚丰。
2、性格：为人仁慈，喜欢助他人，有进取心，对家庭有责任感，一生辛勤奋发，但处事较主观固执，容易陷入一意孤行，这一点应改进。
3、意志：意志不够坚定，计划不够周到，处事也有冲动之倾向。
4、事业：属于一种稳定性收入的行业，如薪水阶级、农牧业，成本不大的生意均很适合，也能顺利。
5、家庭：男命者家庭大致圆满，夫妻共同创业。女命者家庭多争执、不和，应多忍让。
6、婚姻：男娶努力节俭之妻，婚后大致和顺；女嫁好胜克勤之夫，婚后有争吵。
7、子女：女孩较多，有责任感又能孝顺。但身体较为虚弱。
8、社交：性格较直率，有话直话，少言而多行，外缘及社交能力均不错。
9、精神：表面似乎无事，为家庭及工作多操劳，精神不安定。
10、财运：劳碌之财，如能节俭，积少成多，仍可小富。
11、健康：易患胃肠、神经衰弱、呼吸器官、头痛等症。
12、老运：一生劳碌，老景尚佳，但仍闲不住，继续辛勤不休。"
金木金,40,717,828,凶,成功运被压抑，难以伸张，常见不安不满，境遇变动多。,双金如钳形夹攻而斩断弱木，最苦、而容易发生交通事故或受金器所伤最危之三才凶配置。境遇横逆多变，迫害殊多，破乱多霉，常感不平、不满之事或有常受欺压之苦，精神残痛，多成多败，饱受折磨，有突发不测之遭难变死之短寿兆。,"1、总论：精神多苦闷，困难重重之象，六亲难靠，靠自力更生，能克服艰难而成功者有之，又有外伤、多病之兆，大都中年前劳碌不安。天运五行属木之人，中年后能够成功发展。
2、性格：有助人之本性，而为他人多劳，一心一意为赚钱而努力，也有中途自暴自弃而沦落者，只要忍耐行事，成功是有望的。
3、意志：意志不够坚定，常凭构想而行事，缺乏实际，耐力不足，处事会有冲动之象。
4、事业：如摒弃依赖之心，早做自力谋生打算，任何艰难挫折当做一种大考验，培养耐力自能成功。
5、家庭：父母无荫，六亲无助，夫妻多争吵，子女不敬，家庭欠温暖。
6、婚姻：男娶好胜固执之妻，婚后不圆满；女嫁顽固性急之夫，婚后多争执。
7、子女：子女个性顽强，与父母意见不和，从小要多予管教。
8、社交：人缘社交均不错，心情时好时坏不稳定，往外发展，成功较快。
9、精神：外表乐观，事事难如愿，心情多苦闷，精神不安定。
10、财运：早期财运不佳，中年后财利可得，大都误打误中而得财。
11、健康：易患肝胆机能、筋骨酸痛、肺病、神经衰弱、精神分裂症等，慎防外伤急厄。
12、老运：一生操劳苦闷，老景转入佳境，但精神仍孤独不安。"
金木水,35,719,820,凶,成功运被压抑，难以伸张，易失败流转。,颇有一时之成就而博得名利，但因成功运被压制，不能有所伸张发展，恐易再陷落流亡、失败、逆境、流浪或遭电击所伤、武器杀伤，甚至变为短寿或染有难治之顽疾，尤其防车祸。,"1、总论：早年有不祥之兆，凭努力及耐力，中年可成功发展，但事业有盛衰起落之灵意，处事应多谨慎注意。天运五行属火之人，中年后财运甚丰。
2、性格：行事稳重可靠，注意实际与工作，肯为他人牺牲，是讲义气的类型，但有时对自己满怀信心，容易陷入一意孤行，应改进。
3、意志：意志坚定，靠自己的毅力突破万难，耐心亦佳，能忍受艰苦，是创业的人才。
4、事业：中年前事业阻挠很多，如能经得起考验，中年后有成就事业之象，但须忍耐导重行事。
5、家庭：父母无荫，亲友难助，夫妻缘薄，子女亦难靠。
6、婚姻：男娶克勤克俭之妻，婚后家内不安；女嫁好胜寡和之夫，婚后多争执。
7、子女：女孩多于男孩，性格较孤独，身体状况不佳。
8、社交：人缘及社交能力还不错，肯为人操劳，但主观较强，容易被人误会，须改进。
9、精神：表面似乎乐观，但理想太高，达成不易，精神烦闷不安。
10、财运：财运不稳定，时贫时富，财务问题应慎重处置。
11、健康：易患神经衰弱、肠胃、头痛、肾脏机能、妇人病等症。
12、老运：一生劳碌，晚景较安定，但家内欠温暖，精神烦闷不安。"
金火木,30,731,842,凶,成功运被极度压抑，难以有所伸张，因不满之结果易生悲观。,得下属之助，基础安定，地位及财产皆颇坚固，但因成功运被压制，乃难于伸张，而生出不满、不平之结果，易伤害脑或有肺呼吸器病，甚至有凶变遭难或自杀、火灾等不祥之虑。,"1、总论：早年多劳苦，靠白手起家，中年事业有成，财利可得，然不可太大意，否则会有下降的倾向。常因自己判断错误而损财。天运五行属火时，中年前财源广进，老境失败不安。
2、性格：待人诚恳，乐于解决别人的困难，不耐孤独无聊的生活，对长上言行不敬，性急而缺乏耐心，依自己的热忱与决心，终可得到应有的报酬。
3、意志：意志坚定，有突破艰难的毅力，但处事容易冲动，有一怒不可收拾之倾向。
4、事业：中年是发展事业的起点，凡事培养耐心，三思而后行，自可成功发展。
5、家庭：男命者与长上不和谐，夫妻圆满，但应戒色。女命者夫妻不睦，慎防桃花运。在家喜欢掌权。
6、婚姻：男娶贤淑持家之妻，婚后家庭和睦；女嫁懦弱寡和之夫，婚后不美满。
7、子女：女孩较多，却都聪明可爱，长大后有所成就，也很孝顺父母。
8、社交：人缘社交都很好，待人诚恳有礼，诚实直率而得信赖，异性缘亦佳。
9、精神：为人似乎乐观进取，常有琐事来困扰，心情苦闷不与人知。
10、财运：中年后财运颇佳，依努力发展成功之兆。
11、健康：易患头痛、神经衰弱、精神分裂症、肺部等疾病。
12、老运：老景钱财不缺，但有孤独不安之兆，多注重精神修养为要。"
金火火,40,733,844,凶,成功运被压抑，难以成功，因不安不满之结果易生悲观。,双火协力攻克一金：因勤勉多闻而在中年或壮年得能以盛运成功，但除非毅力坚强耐久，否则难于有很大之上伸发展，尤须提防言语惹祸或火灾或脑炎之灾害。但喜：人、地两格，至少有其一属23数则较有把握可速成就。,"1、总论：为名为利终日操劳，早年环境多灾变，中年会有成功至，又恐性急误大事，而陷入孤军奋斗、亲友无助之局面，有身心过劳之虞。属于白手成家之类型。
2、性格：爱慕虚荣，好大喜功，性急而不重实际，不耐独处无聊的生活，有桃花运之倾向，应培养耐力、定力，方可立于不败之地。
3、意志：意志不够坚定，容易受世俗迷惑，理想往往脱离现实，所幸靠努力而有所补救。
4、事业：属于操劳得财的行业，虽可闯出一番事业，但精神的付出及艰难很多。
5、家庭：男命恐有因应酬或风流之事而导致夫妻不睦。女性者好胜好强，恐有婚姻危机。
6、婚姻：男娶性急固执之妻，婚后不甚圆满；女嫁懦弱寡和之夫，婚后常争吵。
7、子女：子女个性活泼而顽皮，长大后有所成就，但个性主观好胜，常一意孤行。
8、社交：性急容易得罪人，有时为了好面子，而为他人所累，并有桃花运的倾向。
9、精神：表面大方乐观，但有眼高手低之倾向，精神常在不安定中。
10、财运：中年后财利可得，但有不持久之倾向。天运五行属金之人较稳定。
11、健康：易得头痛、脑溢血、神经衰弱、呼吸系统、精神分裂等症。
12、老运：老景似乎孤独不安，身体有疾患，事业有变化，但钱财不缺。"
金火土,40,735,846,凶,成功运被压抑，难以伸张，境遇虽得稍稍安定，但易生悲观。,基础坚实，境遇可稍得安定，而有一时之成功，但除非毅力坚强耐久，否则难于有很大之上伸发展，身心劳苦，故而易生脑、肺疾等病。,"1、总论：虽然成功运不佳，只要自己有热忱与决心，终能得到应得的报酬，凡事不可操之过急，保持人和，可有成就，财利可得。天运五行属水时，中年后事业发展，财利甚丰。
2、性格：稍倾于自大的个性，好面子且有虚荣心，有心往外发展，但与人交往却有格格不入之感叹，眼高手低，忧郁气闷，以致精神过劳，容易卷入亲友是非中，平白遭受损失。
3、意志：意志坚定，为理想而奋斗到底，但脾气不佳，处事容易冲动。
4、事业：从事人际关系较单纯的行业较适合，以免惹事生非，吃力又不讨好，影响工作心情。
5、家庭：与长上意见不和，夫妻多争执，或因外遇而影响家庭和睦。
6、婚姻：男娶好胜勤劳之妻，婚后不圆满，难免争吵；女嫁懦弱寡和之夫，婚后常有争吵，注意婚姻危机。
7、子女：子女聪明有责任感，长大后在社会上有所成就，也能孝顺父母。
8、社交：待人热心积极而常为他人所累，虚荣心较重，有时明明是吃亏之事，还以为占了便宜，社交不佳。
9、精神：表面装的似乎乐观，但环境压力很重，精神苦闷难安。
10、财运：早年较劳苦，中年有财利，但有受人拖累而陷入困境之兆。
11、健康：易患头痛、神经衰弱、呼吸系统、精神分裂等症。慎防意外急灾病难。
12、老运：晚景尚称安定，天运五行属水时，可享清福。"
金火金,40,737,848,凶,成功运被压抑，难以成功，易生心身过劳。,基础运及成功运均劣，绝对不能成功，更谈不上发展，易导致身心过劳、神经衰弱及病难、短寿等凶兆。于青年、中年期间惨遭受断肢残体意外之灾，患肺病，克配偶，家庭及部下之间多争执，甚至发狂或变死。,"1、总论：个性好胜好强，雄心勃勃，终致到处碰壁，尝尽失败的滋味，但有时也有出人意料的绝招，可闯出一番成就，得到财利者，慎防意外灾病，中年有失败灾厄之兆，慎防。
2、性格：表面虽乐观，但好出风头，有自大之嫌，容易接近异性，不耐独处。六亲虽无助但朋友还不错，应多修身养性，集中精神及精力于事业上，成功一定属于您。
3、意志：意志不够坚定，情绪亦不稳定，耐力不佳，处事容易冲动。
4、事业：早年劳苦，不如意事十常八九，但绝不可自暴自弃，误入歧途，回顾过去名人哪个不是多灾多难。
5、家庭：家内不和多争执，夫妻常争吵，子女易反感。须注意色情之灾。
6、婚姻：男娶容忍寡和之妻，婚后不和睦；女嫁懦弱固执之夫，婚后不圆满。
7、子女：女孩多于男孩，个性较顽强，容易和父母顶嘴，独立心较重。其中有身体较差者。
8、社交：属于内忧外喜的个性，家内不平不和，对外却勉强行事，人缘社交还算圆满。
9、精神：内部多劳多争，精神不安定，心情劳苦亦不欲人知。
10、财运：中年后财运尚佳，但须戒风流成性，浪费时间和金钱。
11、健康：易患神经衰弱、头痛、呼吸系统、妇人病、难产等。
12、老运：晚景财源不缺，但生性急躁固执，精神郁闷不安。"
金火水,35,739,840,凶,成功运被压抑，难以成功，易遭变化。,至劣之配置，绝对不安定，基础崩败，成功不能，上伸困难，必有意外急变，易遭触电所伤，或被杀或遭火灾及不测之危身、危命诸灾，丧失生命或财产，及脑溢血、发狂、趺跤、溺水短寿之不祥事。,"1、总论：这种很不幸的配置被您碰上了，中年以前不知要经过多少的挫折苦闷，又有急厄灾变要您去克服，漫长的黑夜总有过去的时候，拿出魄力及耐力，最后成功还是属于您的。
2、性格：待人心性急，不耐独处生活，头脑急智活泼，举止优雅，易与异性接近，外柔而内刚，稍有固执之感。感情易冷易热，情绪很不稳定。
3、意志：意志不够坚定，做事计划欠周详，但能忍耐失败的打击。
4、事业：您的人生考验较长，中年前奔波劳苦，事业难顺利，中年后有成功机会，但须相当忍耐行事。
5、家庭：与长上意见不和，夫妻一时圆满，终会离异或争执不休。
6、婚姻：男娶好胜性急之妻，婚后幸福难持久；女嫁得过且过之夫，婚后常为小事而闹意见。
7、子女：子女性格较孤独，身体状况不佳，与父母感情不融洽，长大后恐难靠。
8、社交：喜好面子摆排场，性急易与人冲突，人缘不错，社交不甚圆满。
9、精神：表面热情大方，其实精神不安，内心又苦闷，有苦说不出。
10、财运：中年前经过很多苦劳或风波，中年后财源可得，但有不稳之兆，应注意防守。
11、健康：易患头痛、心脏病、精神衰弱或分裂症、妇人病等，更有急病、遭难等危险。
12、老运：晚景财源不缺，家庭多是非，精神烦闷不安。"
金土木,70,751,862,平,虽可顺利成功，达到目的，惟基础不稳。,欣庆果能成功顺调，容易发展达到目的，亦能成富、成贵，唯在幼少年期之境遇不稳安而较多变化、若为凶数尤其以幼少年期间，恐有胃肠疾患及遭崩塌或坠落物所伤之虑。,"1、总论：可成功发展之配置，介境遇不安定，事业有变化之兆，经过多少劳苦，可以稳定发展成功，后运安祥吉，但大运五行都不同，与天运五行生克变化大，有成败一瞬间之灵意。
2、性格：举止谦和有礼，比较发面了摆排场，有讽刺及不输心理，做事考虑过多，容易放弃好机会而无法把握信住。应培养坚定的心志，成功较易。
3、意志：意志不够坚定，思想易变，做事有虎头蛇尾之象，有浪费的倾向。
4、事业：早期有一度的成就发展，但有变化的灵意，中途易陷入劳苦状态，中年后名利可得。
5、家庭：家庭和睦，夫妻尚美满，子女稍顽固。男命者对妻子多忍让点就能和谐。
6、婚姻：男娶好胜持家之妻，婚后大致圆满幸福；女嫁多才温厚之夫，婚后家庭生活甜蜜。
7、子女：女孩多于男孩，聪明而性稍顽固，长大在后主观较强，与父母意见不和。
8、社交：人缘很好，对异性富有魅力，待人颇诚恳，能受朋友信任，社交能力佳。
9、精神：精神尚称愉快，但有后顾之忧，老年缺乏天伦之乐。
10、财运：财来财去，中年后会渐趋稳定，晚年财运颇丰。
11、健康：易患胃肠、肝脏、妇人病或难产。
12、老运：晚景安然顺调，精神有孤独感，子女都各自离家生活。"
金土火,70,753,864,平,可得意外成功发展，名利双收，境遇稳固，惟数理欠佳。,可获得意外之大成功，名利双收，且得大发展，诸事顺利隆昌，大吉大利。但数理若凶则恐好景不长。若无凶数，则可免忧虑。,"1、总论：表面似乎安定，其实运限不佳，顶多只能求得平稳，如自己创业实在很难成事，有眼高手低的倾向，不耐吃苦烦重的工作，容易放弃好机会，天运五行属火时，中年可成功一时，。
2、性格：性情温和有礼，严守社会秩序、公共道德，好施要领且好面子，但意志较弱，缺乏决断力，工作态度很认真，但不耐太繁重的工作，成功是有限的。
3、意志：意志坚定，稳定中求发展，忍耐亦佳，处事不易冲动，考虑较为周祥。
4、事业：如为薪水阶级或从事稳定收入的小资本生意，可平安发展，投资较大或投机生意都不合适。
5、家庭：妻子与长上不和之兆，夫妻亦很难相处，很容易往外发展。
6、婚姻：男娶懦弱寡和之妻，婚后大致圆满幸福；女嫁多才温厚之夫，婚后家庭生活甜蜜。
7、子女：女孩多于男孩，聪明而性稍顽固，长大在社会上会有成就。
8、社交：为人忠厚老实，做人处事很守原则，做事不够积极，缺乏果断力，容易受人拖累。
9、精神：表面似乎平安无事，但凡事少成，内心却有苦说不出。
10、财运：财运不佳，有小财利时应该满足，守则安，动则凶。
11、健康：易患脑溢血、心脏病、胃肠病等。
12、老运：一生操劳但功少，晚景力不从心，精神欠开朗。"
金土土,98,755,866,吉,可获得意外成功发展，有名利双收的运气，基础稳固，平静安康，免于种种灾祸，可得幸福长寿。,易达目的，轻易成功，名利双收，一帆风顺，福泰鸿量，万事安宁，顺利发展，生涯境遇安泰，即使数理有凶也可免于灾祸。,"1、总论：一生平安平稳之配置，缺乏果断力，不耐吃苦繁重的工作，早年平顺中小有发展，若不知足而继续扩展事业，将陷入财务困难，有受人拖累、欺骗破财之灾。
2、性格：外表虽和蔼易处，内心却倾于固执，做事不积极，有眼高手低之缺点，很难把握住良机，表面上似乎经济能力不错，但内心却隐藏种种困难，亦不欲人知。
3、意志：意志坚定，做事稳扎稳打，但耐心不足，常有虎头蛇尾之倾向。
4、事业：只适于薪水阶级或从事稳定性的小生意，若好面子摆排场，从事不实际的工作，会让您失望的。
5、家庭：若人格部25画，夫妻有争吵，其他大致圆满，但恐有外遇而影响夫妻感情。
6、婚姻：男娶贤淑持家之妻，婚后夫妻和睦；女嫁才华温良之夫，婚后家庭美满。
7、子女：女孩多于男孩，有责任感，长大后能孝顺父母，并得社会上的好评。
8、社交：人缘很好，举止谦恭有礼，待人有诚意，但不得要领，社交不算成功。
9、精神：如容易满足者，可得精神愉快，但大都陷入内心劳苦，不满现实。
10、财运：财运不佳，应多节俭，减少意外损失，免造成赤字发生。
11、健康：患胃肠及肾、膀胱等症。
12、老运：晚景无显著进展，劳多功少，心情烦闷不安。"
金土金,98,757,868,吉,可获得意外成功发展，有名利双收的运气，基础稳固，平静安康，可得幸福长寿、繁荣昌隆。,基础稳固，希望易达，顺利成功发展，名誉与福份俩俱充足，隆昌威仪，大成功、大余庆、繁华荣隆。,"1、总论：表面似乎吉祥，其实多劳而功少，为家庭操劳不休，难得贵人提拔，成功机会很少，只能求得平安过日，注重精神生活方为上策。
2、性格：本性善良，勤勉持家，稍好面子，但有消极的倾向，又好出风头，讲话不认输，亲友无助，靠自力更生，追求异性较大方，对喜爱的人能积极争取。
3、意志：意志坚定，辛劳中追求理想。但耐性不佳，碰到了困难，容易中途放弃。
4、事业：薪水阶级或稳定性小本行业较为适合，如好面子扩大经营，会陷入困难。
5、家庭：家庭大致圆满，但配偶理解性欠佳，夫妻多争执。
6、婚姻：男娶克勤固执之妻，婚后时有争吵；女嫁才华固执之夫，婚后大致美满。
7、子女：子女个性较顽强，比较容易和父母顶嘴，长大后能有成就并孝顺父母。
8、社交：人缘虽好，社交能力不佳，守其和平，免受人牵累损失。
9、精神：表面似乎乐观无事，但内则不如意，内心苦闷不安定。
10、财运：财运不佳，靠努力维持生活一生只能辛勤度日。
11、健康：易患胃肠、妇人毛病。
12、老运：晚景有改善，但精神、财运仍不佳。"
