number,wuxing,jixiong,score,jixiong,brief,short,description,fortune
39,水,吉,89,吉,富贵荣华,富贵荣华，财帛丰盈，暗藏险象，德泽四方。,一生中精力充沛，多才多艺，个性积极活泼，社交能力强，容易成为杰出政治家或企业家。此乃贵气之数，有否极泰来，富贵、长寿集于一身之象，是为众所钦佩之数。但有时会物极必反，阳生阴，阴生阳，乱了磁场，不能不谨慎。用钱很大方，恩怨分明，容易被评为爱出风头，个性急，在平稳中显不出威力，当面临困苦时，反而易成就功名。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。"
40,水,凶,45,凶,退安,智谋胆力，冒险投机，沉浮不定，退保平安。,一生中才智聪明，理想过高，对任何事都充满兴趣，但就是不易持久，也不易达到应有荣耀，若能安守本份，一生则可保平安。为人足智多谋，胆识过人，骄傲不逊，易受抨击，因之缺乏威望，一生也喜好冒险，投机取巧，为不吉之数。理想抱负多，也能积极进取，但最后成功的事业，往往不是自己原先的愿望，一生财禄虽不错，但出手大方，喜好排场，易生失败，要好好改进。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
41,木,大吉,98,大吉,有德,纯阳独秀，德高望重，和顺畅达，博得名利。此数为最大好运数。,为人宽厚，男性之最吉数。为人处事光明正大，肚量宽大且朋友多，智仁勇兼备，英雄出少年。上司及部属多为贵人，一生道途平顺，有如明月当空，心地善良。为人慈祥，才智胆识都有，向上前进，能成大事业博得好名利之吉祥数。,"首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。"
42,木,凶,66,凶,寒蝉在柳,博识多能，精通世情，如能专心，尚可成功。,虽聪明灵巧，但有一意孤行的倾向，一生想追求超乎现实的愿景，但不一定能成功，此个性适合做研究、开发工作。一生兴趣多，博学而不精，热心但不易持久，心地善良乐助人，交游广阔，能得人助且多才多艺，博得虚名。唯缺乏恒心毅力，做事不专一，多才少成，中年后恐怕会陷入逆境，为人具有感伤的气氛，宜培养文艺方面，潜心钻研当有所成就。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
43,火,凶,52,凶,散财破产,散财破产，诸事不遂，虽有智谋，财来财去。,给人感觉注重生活品味，一生中桃花多，为人责任心重，做事认真积极，为人恩怨分明，主观强，很容易一意孤行。用钱很大方，恋爱机会多，容易为情所困，虽能建立一时爱情，但基础不够坚稳，难免功败垂成。为人稍具才能，巧饰外表，掩藏劣点，如常故弄玄虚，终会露出马脚，因之失去信誉，宜脚踏实地，实事求是，才能有所成就。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
44,火,凶,55,凶,烦闷,破家亡身，暗藏惨淡，事不如意，乱世怪杰。,思想上感觉怪异，为人也超现实，不擅交际，金钱支配比较无计划，心中有理想，宁舍弃安逸享乐生活而去追求，以致精神生活不安，有时为人意志消沉，缺乏动力，故诸事不顺，多遇失败，以致身体病弱。中年后有发狂之象。但数理中，有隐名之怪杰、伟人、烈士、孝子或节妇也有出自此数。是一个爱憎分明，一生获得少，帮助也少之数理，一生经历漫长艰苦奋斗，很难一夜之间成功。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
45,土,大吉,98,大吉,顺风,新生泰和，顺风扬帆，智谋经纬，富贵繁荣。,此数温和大方且人缘佳，很受别人欢迎，看来性格较被动，容易获得贵人帮助与提拔，因兴趣多，但耐性差，所以常常是先苦后甘，出身虽不好，但能立定志业，善用智慧，有一切操之在我的决心，最后终有所成就。但时运差时，有时常遇事不做决定，就错失良机，若与运强者合伙共事，较易施展才华，为人好面子，不计较小事，算是不错之格。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。"
46,土,凶,48,凶,浪里淘金,载宝沉舟，浪里淘金，大难尝尽，大功有成。,此数为独立不怕艰苦之数，但此生工作事业不顺，常遭变数而功败垂成，为人意志薄弱，较易逢挫折，也易步入歧途，而身陷牢狱。一生难入顺境，家族及六亲缘薄，事业失败等不幸，应以服务心为重，方可转为幸运。须自立更生才能得财，一生中难得到意外之财，能适应任何环境，当得意时，却又容易受别人牵累或身体疾病的打击，而必须从头再起。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
47,金,大吉,98,大吉,点石成金,花开之象，万事如意，祯祥吉庆，天赋幸福。,一生中平顺度日，凡事能心想事成，人际关系和谐，偶遇困难，贵人会来协助，在生活过程中，常能逢凶化吉，做事总能脱颖而出，凡事刚开始时有拘束不如意，但时机成熟时，自能出人头地，家庭美满，子孙贤孝之大吉数。一生交际广，乐于助人，虽花费大，但财运丰，对部属宽厚，擅长为人排解纠纷，在外人缘特好。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。"
48,金,吉,95,吉,古松立鹤,智谋兼备，德量荣达，威望成师，洋洋大观。,此数为容易间接掌握大权，做事能脚踏实地，虽不出名，但负重任，为幕后功臣。一生专精策划与协调，是一个足智多谋之人，是为军师之格。但为人性情镇静，略近消极，是一个有计划、有策略之人才。最好做谋士、顾问之工作，很适合与果敢勇断之士合作。一生贵人多，能受器重、受提拔，而得以一展长才，乐于助人，外缘好，重享受，用钱大方，财虽多，但开销也颇大。,"吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
49,水,半吉,48,半吉,转变,吉临则吉，凶来则凶，转凶为吉，配好三才。,此数为一生如浮萍，居无定所，多生变动，生活容易陷入苦闷，创业过程总徘徊在不安定中，意识主观强，恩怨分明，性急缺耐性，做事常常半途而废，一生很难得到别人帮助。此数为忽东忽西，时南时北，飘动不定，是为吉凶不定之数。平常如不知开源节流，常为钱苦。,次吉祥运（表示多少有些障碍，但能获得吉运）。
50,水,凶,56,凶,小舟入海,一成一败，吉凶参半，先得庇荫，后遭凄惨。,此数容易在巅峰时突然走下坡路，一切好景不常，凡事应退守为吉，持盈保泰，以维持良好局面。一生温和谦虚待人，评价甚高，贵人多助，容易成名，但往往因自满又一意孤行，而尝到失败，幸贵人多助，才能够东山再起，为人外表上，看似有魄力，而内心却柔弱，易走投机路线，易造成好景不常。似会有六亲缘薄、亲人易分离、事业失败等之象，如以道德为重，或许能转为幸运。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
51,木,半吉,66,半吉,沉浮,盛衰交加，波澜重叠，如能慎始，必获成功。,此数为理想高，能奋力达成愿望不畏辛苦，能少年得志享有声望，对部属要求甚严之数，人生较不擅处理人际关系，如不妥善处理，容易阳、阴互克，物极必反，产生乐极生悲之象。早年就可享天赋异秉福份，无奈于中年后即陷入落魄困苦之境遇。为人性刚、骄傲，易失人和，请好自为之，一生若能独立奋斗就能事业有成，因为不重享受，把工作当娱乐，能享受工作乐趣陶醉在其中。,次吉祥运（表示多少有些障碍，但能获得吉运）。
52,木,吉,95,吉,达眼,卓识达眼，先见之明，智谋超群，名利双收。,一生会为理想而勇往直前，为人聪明能干，但时运不济，有怀才不遇之感，容易功败垂成。易遭外伤，能洞察先机，能见机行事，因之易得机会一跃成功，博得名利双收，有鲤鱼跃龙门之象。中晚年则需小心，因待人很温厚，常有贵人来助，可惜容易受制于意外事故，有一些事无法如愿。,"富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。"
53,火,凶,68,凶,曲卷难星,外祥内患，外祸内安，先富后贫，先贫后富。,"此数为早年顺利发展，晚运略为衰微之数，易遭受失败打击，而自暴自弃，虽能东山再起，却不易积极掌握。外表虽风光炫耀，其实经济拮据，可谓是富屋贫人之象。有此数，家人容易不合，人事处理不好，财物容易散尽，容易陷入逆境。
此数大多出生富贵人家，在工作上喜欢指挥别人，早运出类拔萃，易养成娇气，中年一旦受打击，便不易改变自己习性，自甘堕落，排斥他人的帮助，以致一蹶不振。",凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
54,火,凶,38,凶,石上栽花,石上栽花，难得有活，忧闷烦来，辛惨不绝。,此数为理想太高，超越现实之数，因有愤世嫉俗之个性，所以渐渐不容于社会，而只能孤芳自赏，有时会为疾病烦恼，精神疲累。有志难伸，是郁郁不平之数，凡事多阻碍而难成就大事业，有时易与人不和，或有身受意外变故之不祥数。大致前运略佳，但后运不好。为人性情冷僻，刚强自恃，久而久之就会与社会隔绝。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
55,土,半吉,67,半吉,善恶,善善得恶，恶恶得善，吉到极限，反生凶险。,此数为外柔内刚之数，一生贵人多助，凡事能按部就班，能实现理想而至成功。然此数5，为阳之极，55阳极加阳极，不但失去阴阳调合，且物极必反，该多接触双数即可中和。外观看似风光得意，内心却充满辛酸，不如意之事，层出不穷。若有坚定心志，忍耐努力，后运也许可以渐入佳境。容易为他人之事劳心，一生中耐力强，能由基层做起而得到上司提拔的机会。,次吉祥运（表示多少有些障碍，但能获得吉运）。
56,土,凶,48,凶,浪里行舟,历尽艰辛，四周障碍，万事龃龌，做事难成。,此数在创业过程中，易遭多方阻碍，难获长辈庇荫，需靠自行发展，白手起家，早运辛苦，行事不顺，因而容易遭突来的打击而失败，前途暗淡。个性柔弱，耐性稍差，一遇挫折便失去信心，好像缺乏进取之精神，难成就大事业。宜养成坚忍不屈之个性，发奋努力到底才能成功，也因亲朋好友助力少，也容易受他人牵累而造成损失。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
57,金,吉,88,吉,日照春松,寒雪青松，夜莺吟春，必遭一过，繁荣白事。,早运较差，历经层层磨炼，中年后就能获得财富与地位。待人严肃且要求高，部属容易受不了。一生中不重生活享受，展现坚强意念，故为人有魄力与耐心，能克服艰难环境，争取成功，受人赞赏，因天资聪明，积极且外向，克服困境终获成功。全心全意放在事业发展上，一定有一番成就，唯人际互动稍欠和谐。,吉祥运（表示健全、幸福、名誉等）。
58,金,半吉,66,半吉,晚行遇月,沉浮多端，先苦后甜，宽宏扬名，富贵繁荣。,此数为早年环境多变之数，中年以后才比较容易成功，前半生事业方向较不稳定，历经数种行业磨炼，中年后用心奋发，脚踏实地，终能闯出一席地位。颇有失而复得之象，一生中大致先遇上破财意外之后，因具有不屈不挠之斗志，得以重建家业，终生安乐之数。虽然才智高，但博学不专，因待人诚恳，朋友颇多，一生受到朋友帮助很大。,次吉祥运（表示多少有些障碍，但能获得吉运）。
59,水,凶,44,凶,寒蝉悲风,寒蝉悲风，意志衰退，缺乏忍耐，苦难不休。,为人性急，理想高，不屈人下，容易与别人发生是非纠纷，造成意外麻烦；为人也不安于现状，欲望大时，时时在求变化，因急躁，耐心不足之个性，所以易遭失败。虽多才多艺，但为人缺少胆识，遇事迟疑不决，因之无法成就大事业。如遇有困难，即裹足不前，缺乏进取精神，以致无法成功，身体方面身体较差，容易有外伤，人际关系较差，不易得到别人帮助，若能放下身段，中年以后运势可望好转。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
60,水,凶,54,凶,无谋,无谋之人，漂泊不定，晦暝暗黑，动摇不安。,具有强烈不服输心态，一心想追求投机行业，很容易受到意外打击，造成困扰。天生具反抗心，常违背长辈，不听规劝；以致黑云罩月、光芒难现。一生中意志不甚坚定，随兴而发，人生毫无计划，以致无所成就，也易招损失财物，陷入困苦烦闷之境。个性孤傲与人寡和，容易有自闭倾象，形成事业困境，易遭意外、财损，造成心情空虚，也容易有桃花纠纷。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
61,木,大吉,98,大吉,牡丹芙蓉,牡丹芙蓉，花开富贵，名利双收，定享天赋。,此数为勤劳奋发，自主独立之数，待人宽厚，乐于助人，能勇往直前，不畏艰苦，能在社会上建立良好事业与财富，为坐收名利，富贵荣华之吉运数。无奈为人太过豪迈刚毅，以致内外不和，可能有缠讼之事发生，故宜修心养性，宜保持人和，即可享天赋之福。有时候有利己主义，不擅应酬交际，一生多靠自己，别人助力少，身体健康，不重享受，一生无大灾难。,吉祥运（表示健全、幸福、名誉等）。
62,木,凶,46,凶,衰败,衰败之象，内外不和，志望难达，灾祸频来。,此数为智慧高超，反应灵敏之数，个性叛逆，一意孤行，但缺乏领导魄力及手腕，因此往往在理想付诸实现时，易有人事不协调困扰。属天地不交，万物不通，内柔而外刚之格，表里不一善掩饰，有失信用，易与人不和，而导致运途困顿。有时待人宽厚，但耐心却不足，做事容易半途而废，易遭小人陷害造成损伤，如果能不担任实际执行或领导的工作较易成功。为人好面子，一生尽力求表现，却未能评估自己能力，容易外华内虚，需改进改进。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
63,火,大吉,95,大吉,舟归平海,富贵荣华，身心安泰，雨露惠泽，万事亨通。,此数为进取向上，理想高，喜欢当首领之数，凡事都能逐一达成，功成名就，发挥长才。生性外向好动且宽厚，乐于助人，交游广阔，朋友多助，不需劳苦伤神，而能诸事如意，此数乃天之所赋也，很好。但是有时容易不安于现状，会有创新的想法，也能求新求变，真是天生老板主管人才。在身体健康方面没问题，事业成功，子女贤孝。,吉祥运（表示健全、幸福、名誉等）。
64,火,凶,44,凶,非命,骨肉分离，孤独悲愁，难得心安，做事不成。,本身虽很有才华，但因循怠惰，过于安逸，而颓废不振，喜欢不劳而获，终至失败，会有阴暗沉沦之象，大都出身不富裕家庭，或有待其重整家园之运数，如不力图振作，危危可急，无奈为人缺乏进取心，一意想改变也欲成就事业，却无魄力，终生不得志。心思变化虽灵敏，唯执行力较差，缺乏活动力，为人自尊心强，易受别人误会，不能忍受轻微挫折打击，易半途而废，缺乏恒心，身体欠安，无法从事辛苦工作，如能得到贵人牵成，则可平实过一生。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
65,土,大吉,98,大吉,巨流归海,天长地久，家运隆昌，福寿绵长，事事成就。,此数为事业有成，家庭欢乐圆满之数，思想新颖且多变化，前途光明通达，功成名就，受人尊敬，显贵之吉运数。为人忠厚诚实，待人和蔼，具有天赋福份，家门显贵、福禄、吉祥，为人宅心仁厚，待人宽律严己，一生长辈、贵人多助，亲友关系圆满，颇受好评，子女贤孝有成。,吉祥运（表示健全、幸福、名誉等）。
66,土,凶,48,凶,岩头步马,进退维谷，艰难不堪，等待时机，一跃而起。,个性固执而理想却高，一生中不容易获得别人帮助，自己又缺少魄力及手腕，容易陷入失败中。凡事力不从心，身体较虚，六亲缘薄，容易误信人言或遭小人陷害，劳心劳力真是有志难伸，性格稍顽固，以致内外不和，影响信用，屡受艰难挑战，终身难有所成。如果条件不足，不如安份守己，谋求一份固定工作。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
67,金,大吉,98,大吉,顺风通达,天赋幸运，四通八达，家道繁昌，富贵东来。,做事善于变化，也善于外交，能察言观色，具有领导天赋，随和大方，注重生活品味，但稍爱面子。能获众人拥戴，在工作场合容易很早就当上主管或老板，好运四通八达，有开创新局之气魄，凡事能如意，终能靠白手起家亦能成功立业。财虽丰，但健康稍差，易有内疾外伤的困扰。,吉祥运（表示健全、幸福、名誉等）。
68,金,大吉,95,大吉,顺风吹帆,智虑周密，集众信达，发明能智，拓展昂进。,为人聪慧灵敏，个性坚忍固执，意志坚定，能从基层做起，建立事业。早运比较辛苦，中年运后贵人来助，从此能平步青云，财富名望水到渠成，为人慷慨大方，深受部属拥戴，为贤达进展之吉数，为人善察事物，意志坚定，能提振家声。尤具发明才能，贡献社会。一生财运丰硕，无大灾，能健康长寿。,吉祥运（表示健全、幸福、名誉等）。
69,水,凶,43,凶,非业,非业非力，精神迫滞，灾害交至，遍偿痛苦。,"一生意外多，理想高，生活苦闷，事业、身体多受打击，终将难有所成就。性急又缺乏耐性，自视高，人际互动差，常陷自己于孤立无援中，为浮动不安之数。一生不安于现况，事业又多陷于泥沼中，以致失意之余，有病弱或精神恍惚之象。
运程不佳，容易与人有财务纠纷，心力交悴，容易陷于愁困之中。",凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
70,水,凶,45,凶,残菊逢霜,残菊逢霜，寂寞无碍，惨淡忧愁，晚景凄凉。,此数易与亲友有纠纷之象，或不幸之事牵连，常陷入愁苦不平中，无法面对现实而重新振作。为人心急，又好虚荣，对平静之生活没兴趣，然缺乏忍耐力，大多事会到中途而放弃，屡做屡败，因之身体较差，虽有助人之心，但往往自顾不暇，而易遭意外损失，如处理不当，亲友易反目，难以摆脱心灵创伤。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
71,木,半吉,60,半吉,石上金花,石上金花，内心劳苦，贯彻始终，定可昌隆。,外表坚强，内心软弱，一生会为理想勇往直前，容易功成名就，待人诚恳，一生长辈朋友多助，天生是享福之数。本可享受荣华富贵，无奈因缺乏持续力，又无忍耐之心，而无法守成，尤其是拥有此数之人，常常是杞人忧天，庸人自扰，闷闷不乐，像是不祥之数。一生擅为他人排解纷争，受众人爱戴，身体强健，精力旺盛，容易得到现成基业。,次吉祥运（表示多少有些障碍，但能获得吉运）。
72,木,凶,63,凶,劳苦,荣苦相伴，阴云覆月，外表吉祥，内实凶祸。,个性柔弱却又倔强，早年生活安逸享受，犹如温室之花朵，不堪打击，容易屈服颓废。头脑聪明，却博学少精，为人好面子，会有眼高手低之象，若无贵人提拔不易成功。此数为风雨欲来之象，财到劫来，福至祸临，乃为吉凶相随之运数，因此一起一落难有成就。宜多接近权贵，远离小人，见机行事，也许有所成。身体较弱，容易劳累，也容易精神衰弱，该多注意身体。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
73,火,半吉,68,半吉,无勇,盛衰交加，徒有高志，天王福祉，终世平安。,为人保守、谦让，处事偏消极，虽有创业头脑，但不一定能成功，一向谦虚向学，乐于助人，外缘良好，安享平稳生活，但在工作上喜欢指挥别人，而放不下身段。一生想冲事业，但因缺乏进取心，徒具大志，以致平平凡凡中渡过人生，不过平安是福了。注重精神修养与嗜好，子女贤孝有出息。,次吉祥运（表示多少有些障碍，但能获得吉运）。
74,火,凶,45,凶,残菊经霜,残菊经霜，秋叶寂寞，无能无智，辛苦繁多。,为人胆小且无能，依赖他人，精神生活不安定，如不学习独立，很难在社会上生存立足。此运属晚熟型，对长辈上司充满依赖心，心情阴晴不定，内心空虚，为人既无聪明才智，又乏进取心，凡事无力自行决定，常受制于人而动，故一生难有成功机会，到老恐陷入凄凉地步。如果意志不坚，容易半途而废，难达成功境地，很难在社会有所成就。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
75,土,半吉,48,半吉,退守,退守保吉，发迹甚迟，虽有吉象，无谋难成。,外看似温柔，但主观甚强，思想新颖且多变化，口才也很好，容易被评为锋芒太露。对学术艺术具有天份，是一个博学多能，自视高之人，容易不知不觉中刺伤别人，造成自己的孤立。此数属保守平安数，有勇无谋无计划之能力，又乏主宰力，以致易受他人利用，若能保守不动，尚可保安，一生财运平平，如花费太大，容易为钱所苦，又不屑向人低头。,次吉祥运（表示多少有些障碍，但能获得吉运）。
76,土,凶,40,凶,离散,倾覆离散，骨肉分离，内外不和，虽劳无功。,此数可能会有思想荒诞脱离现实之象，一生挫折多，亲友淡薄，一生需靠自己自力更生。本身自视高又缺耐力，做事常会半途而废，一生中常换工作，劳碌一生，多外伤或法律纠纷，为人无远大的抱负，又缺乏细虑，以致信誉、地位、事业都难得成功。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
77,金,半吉,68,半吉,半吉,家庭有悦，半吉半凶，能获援护，陷落不幸。,一生劳碌，性急，容易因误信他人而受骗，幸好一生无大破败。此数为吉凶抱合之数，由兴盛转为衰败，性情过于刚强，处事又很随性，比较不能听取他人意见，以致易生不和，造成人生的伤害。健康良好，财运丰，能吃苦耐劳，唯欠圆滑，热心助人，却得不到感激。,次吉祥运（表示多少有些障碍，但能获得吉运）。
78,金,凶,66,凶,晚苦,祸福参半，先天智能，中年发达，晚景困苦。,此数为脚踏实地，坚忍不屈之数，早运先盛后衰，中年以后容易渐渐失去原有成就，恢复平淡。吉中有凶，为人颇有智能，但也固执，在前运时有发展机会，可惜运入中年之后，即陷入不佳境遇。故中年后宜谨慎守己安份，自可无忧。待人不够圆满，聪明反被聪明误，得意时，门庭若市，失势后，门可罗雀，晚运健康稍差。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
79,水,凶,45,凶,云头望月,云头望月，身疲力尽，穷迫不伸，精神不定。,一生中充满理想，但内心却消极退缩，缺乏进取之心，拥有此数，此生不易有所作为。为人好逸恶劳，若无贵人提携，容易随波逐流，一生中知攻不知守，一意孤行，有唯利是图倾向，缺乏信用，以致易生不和，信誉坠落，陷入失败地步。为人心善柔弱，与人交往宁愿吃亏而不与人争，稍爱面子，人际关系尚好。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
80,水,凶,53,凶,遁吉,辛苦不绝，早入隐遁，安心立命，化凶转吉。,总觉得空虚寂寞，人生在创业过程考验较多，不善事业经营，难以获利。此数有运势退气之象，事业失败，一生容易遭遇困苦，病痛，如理想过高，则易与人交往格格不入，自命清高不凡，容易被社会大众摒弃，造成精神空虚与不安。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
81,木,大吉,98,大吉,万物回春,最吉之数，还本归元，吉祥重叠，富贵尊荣。,还本归元，故数理之灵动与基数一相同，乃大吉祥之数也。一生平顺，自助人助天助，能从基层作起，建立伟大事业。也能克服各种困难转化命运，广受尊重。为人宽宏大量，乐于解决别人困难，能获众人拥戴，赢得崇高威望与向心力。,吉祥运（表示健全、幸福、名誉等）。
